Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
GALKr	galactokinase	atp[c] + gal[c]  <=> h[c] + adp[c] + gal1p[c] 	SCO3136	1	-1000.00	1000.00	  0.00
GALS3	a-galactosidase (melibiose)	h2o[c] + melib[c]  -> glc-D[c] + gal[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
GGLGH	galactosylglycerol galactohydrolase	h2o[c] + ggl[c]  -> glyc[c] + gal[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
GLCATr	D-glucose O-acetyltransferase	accoa[c] + glc-D[c]  <=> coa[c] + acglc-D[c] 	SCO7519	1	-1000.00	1000.00	  0.00
GLCRAL	5-dehydro-4-deoxyglucarate aldolase	5dh4dglc[c]  -> pyr[c] + 2h3oppan[c] 		0	  0.00	1000.00	  0.00
GLCRD	glucarate dehydratase	glcr[c]  -> h2o[c] + 5dh4dglc[c] 	SCO2542	0	  0.00	1000.00	  0.00
GLYALDDr	D-Glyceraldehyde dehydrogenase	h2o[c] + nad[c] + glyald[c]  <=> 2 h[c] + nadh[c] + glyc-R[c] 	(SCO1174 or SCO1706 or SCO3420 or SCO4913 or SCO5679)	1	-1000.00	1000.00	  0.00
GLYCDx	Glycerol dehydrogenase	nad[c] + glyc[c]  -> h[c] + nadh[c] + dha[c] 	SCO6754	0	  0.00	1000.00	  0.00
GLYCTO1	Glycolate oxidase	o2[c] + glyclt[c]  -> h2o2[c] + glx[c] 	SCO2925	0	  0.00	1000.00	  0.00
GLYCTO3	Glycolate oxidase	glyclt[c] + mqn9[c]  -> glx[c] + mql9[c] 	SCO2925	0	  0.00	1000.00	  0.00
GLYK	glycerol kinase	atp[c] + glyc[c]  -> h[c] + adp[c] + glyc3p[c] 	(SCO0509 or SCO1660 or SCO7004)	0	  0.00	1000.00	  0.00
GNK	gluconokinase	atp[c] + glcn[c]  -> h[c] + adp[c] + 6pgc[c] 	SCO1679	0	  0.00	1000.00	  0.00
HADPCOADH3	3-hydroxyadipyl-CoA dehydrogenase (NAD+)	nad[c] + 3hadpcoa[c]  <=> h[c] + nadh[c] + oxadpcoa[c] 	(SCO1591 or SCO3834 or SCO5385)	1	-1000.00	1000.00	  0.00
HEX4	hexokinase (D-mannose:ATP)	atp[c] + man[c]  -> h[c] + adp[c] + man6p[c] 		0	  0.00	1000.00	  0.00
HEX7	hexokinase (D-fructose:ATP)	atp[c] + fru[c]  -> h[c] + adp[c] + f6p[c] 	SCO1957	0	  0.00	1000.00	  0.00
HPYRI	hydroxypyruvate isomerase	hpyr[c]  <=> 2h3oppan[c] 	SCO6206	1	-1000.00	1000.00	  0.00
IDOND	L-idonate 5-dehydrogenase	h[c] + nadh[c] + 5dglcn[c]  <=> nad[c] + idon-L[c] 	SCO1682	1	-1000.00	1000.00	  0.00
IDOND2	L-idonate 5-dehydrogenase (NADP)	nadph[c] + h[c] + 5dglcn[c]  -> nadp[c] + idon-L[c] 	SCO1682	0	  0.00	1000.00	  0.00
LACZ	b-galactosidase	h2o[c] + lcts[c]  -> glc-D[c] + gal[c] 	(SCO0766 or SCO3479 or SCO5689 or SCO6347 or SCO6457 or SCO7407)	0	  0.00	1000.00	  0.00
LCADi	lactaldehyde dehydrogenase	h2o[c] + nad[c] + lald-L[c]  -> 2 h[c] + nadh[c] + lac-L[c] 	SCO3486	0	  0.00	1000.00	  0.00
LYXI	Lyxose isomerase	lyx-L[c]  -> xylu-L[c] 	SCO0812	0	  0.00	1000.00	  0.00
MALT	alpha-glucosidase	h2o[c] + malt[c]  -> 2 glc-D[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MALTATr	maltose O-acetyltransferase	accoa[c] + malt[c]  <=> coa[c] + acmalt[c] 	SCO7519	1	-1000.00	1000.00	  0.00
MAN6PI	mannose-6-phosphate isomerase	man6p[c]  <=> f6p[c] 	SCO3025	1	-1000.00	1000.00	  0.00
MELTGH	melibiitol galactohydrolase	h2o[c] + melt[c]  -> gal[c] + sbt-D[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
MLTG1	Maltodextrin glucosidase (maltotriose)	h2o[c] + malttr[c]  -> malt[c] + glc-D[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MLTG1e	Maltodextrin glucosidase (maltotriose)	h2o[e] + malttr[e]  -> glc-D[e] + malt[e] 	(SCO7019 or SCO7020)	0	  0.00	1000.00	  0.00
MLTG2	Maltodextrin glucosidase (maltotetraose)	h2o[c] + maltttr[c]  -> malttr[c] + glc-D[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MLTG2e	Maltodextrin glucosidase (maltotetraose)	h2o[e] + maltttr[e]  -> malttr[e] + glc-D[e] 	(SCO7019 or SCO7020)	0	  0.00	1000.00	  0.00
MLTG3	Maltodextrin glucosidase (maltopentaose)	h2o[c] + maltpt[c]  -> glc-D[c] + maltttr[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MLTG3e	Maltodextrin glucosidase (maltopentaose)	h2o[e] + maltpt[e]  -> glc-D[e] + maltttr[e] 	(SCO7019 or SCO7020)	0	  0.00	1000.00	  0.00
MLTG4	Maltodextrin glucosidase (maltohexaose)	h2o[c] + malthx[c]  -> glc-D[c] + maltpt[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MLTG4e	Maltodextrin glucosidase (maltohexaose)	malthx[e] + h2o[e]  -> glc-D[e] + maltpt[e] 	(SCO7019 or SCO7020)	0	  0.00	1000.00	  0.00
MLTG5	Maltodextrin glucosidase (maltoheptaose)	h2o[c] + malthp[c]  -> glc-D[c] + malthx[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
MLTG5e	Maltodextrin glucosidase (maltoheptaose)	h2o[e] + malthp[e]  -> malthx[e] + glc-D[e] 	(SCO7019 or SCO7020)	0	  0.00	1000.00	  0.00
MLTP1	Maltodextrin phosphorylase (maltopentaose)	maltpt[c] + pi[c]  <=> maltttr[c] + g1p[c] 	SCO5444	1	-1000.00	1000.00	  0.00
MLTP2	Maltodextrin phosphorylase (maltohexaose)	malthx[c] + pi[c]  <=> maltpt[c] + g1p[c] 	SCO5444	1	-1000.00	1000.00	  0.00
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	malthp[c] + pi[c]  <=> malthx[c] + g1p[c] 	SCO5444	1	-1000.00	1000.00	  0.00
MNLD	mannitol 2-dehydrogenase	nad[c] + mnl[c]  -> h[c] + nadh[c] + fru[c] 		0	  0.00	1000.00	  0.00
MTI	maltose trehalose isomerase	tre[c]  <=> malt[c] 	(SCO5442 or SCO7334)	1	-1000.00	1000.00	  0.00
OXCDC	Oxalyl-CoA decarboxylase	h[c] + oxalcoa[c]  -> co2[c] + forcoa[c] 	SCO6584	0	  0.00	1000.00	  0.00
OXDHCOAT	3-oxo-5,6-dehydrosuberyl-CoA thiolase	coa[c] + 3oxdhscoa[c]  -> accoa[c] + 23dhacoa[c] 	(SCO5144 and (SCO6701 or SCO6967 or SCO3079 or SCO6731))	0	  0.00	1000.00	  0.00
PACCOAE	ring 1,2-phenylacetyl-CoA epoxidase (NADPH)	nadph[c] + h[c] + o2[c] + phaccoa[c]  -> nadp[c] + h2o[c] + rephaccoa[c] 	(SCO7471 and SCO7472 and SCO7473 and SCO7474 and SCO7475)	0	  0.00	1000.00	  0.00
PACCOAL	phenylacetate-CoA ligase	coa[c] + atp[c] + pac[c]  -> amp[c] + ppi[c] + phaccoa[c] 	SCO7469	0	  0.00	1000.00	  0.00
PACCOATE	phenylacetyl-CoA thioesterase	h2o[c] + phaccoa[c]  -> coa[c] + h[c] + pac[c] 	SCO7470	0	  0.00	1000.00	  0.00
PFK_2	Phosphofructokinase	atp[c] + tag6p-D[c]  -> h[c] + adp[c] + tagdp-D[c] 	(SCO5426 or SCO2119 or SCO1214)	0	  0.00	1000.00	  0.00
PGMT	phosphoglucomutase	g1p[c]  <=> g6p[c] 	SCO7443	1	-1000.00	1000.00	  0.00
PMANM	phosphomannomutase	man1p[c]  <=> man6p[c] 	(SCO3028 or SCO4916 or SCO1388)	1	-1000.00	1000.00	  0.00
PPAKr	Propionate kinase	adp[c] + ppap[c]  <=> atp[c] + ppa[c] 	SCO5424	1	-1000.00	1000.00	  0.00
PPM	phosphopentomutase	r1p[c]  <=> r5p[c] 	SCO7443	1	-1000.00	1000.00	  0.00
PPM2	phosphopentomutase 2 (deoxyribose)	2dr1p[c]  <=> 2dr5p[c] 	SCO7443	1	-1000.00	1000.00	  0.00
PTA2	Phosphate acetyltransferase	ppcoa[c] + pi[c]  -> coa[c] + ppap[c] 	SCO5425	0	  0.00	1000.00	  0.00
RAFGH	raffinose galactohydrolase	h2o[c] + raffin[c]  -> gal[c] + sucr[c] 	(SCO0274 or SCO0541)	0	  0.00	1000.00	  0.00
RBK	ribokinase	atp[c] + rib-D[c]  -> h[c] + adp[c] + r5p[c] 	SCO2748	0	  0.00	1000.00	  0.00
RBK_L1	L-ribulokinase (L-ribulose)	atp[c] + rbl-L[c]  -> h[c] + adp[c] + ru5p-L[c] 		0	  0.00	1000.00	  0.00
RBP4E	L-ribulose-phosphate 4-epimerase	ru5p-L[c]  <=> xu5p-D[c] 		1	-1000.00	1000.00	  0.00
REPHACCOAI	ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	rephaccoa[c]  <=> 2oxpaccoa[c] 	SCO5144	1	-1000.00	1000.00	  0.00
RMI	L-rhamnose isomerase	rmn[c]  <=> rml[c] 		1	-1000.00	1000.00	  0.00
RMK	rhamnulokinase	atp[c] + rml[c]  -> h[c] + adp[c] + rml1p[c] 	SCO0814	0	  0.00	1000.00	  0.00
RMPA	Rhamnulose-1-phosphate aldolase	rml1p[c]  <=> dhap[c] + lald-L[c] 		1	-1000.00	1000.00	  0.00
SBTO	D-sorbitol oxidase	o2[c] + sbt-D[c]  -> h2o2[c] + fru[c] 	SCO6147	0	  0.00	1000.00	  0.00
SUCR	sucrose hydrolyzing enzyme	h2o[c] + sucr[c]  -> glc-D[c] + fru[c] 	(SCO1394 or SCO2228 or SCO3780 or SCO7010)	0	  0.00	1000.00	  0.00
TAUDO	Taurine dioxygenase	o2[c] + akg[c] + taur[c]  -> h[c] + co2[c] + aacald[c] + so3[c] + succ[c] 	(SCO7507 or SCO7357)	0	  0.00	1000.00	  0.00
TGBPA	Tagatose-bisphosphate aldolase	tagdp-D[c]  <=> dhap[c] + g3p[c] 	(SCO5848 and SCO5852)	1	-1000.00	1000.00	  0.00
TRE6PP	trehalose-phosphatase	h2o[c] + tre6p[c]  -> pi[c] + tre[c] 	SCO4288	0	  0.00	1000.00	  0.00
TRE6PS	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	g6p[c] + udpg[c]  -> h[c] + tre6p[c] + udp[c] 	SCO4290	0	  0.00	1000.00	  0.00
TRSARr	tartronate semialdehyde reductase	h[c] + nadh[c] + 2h3oppan[c]  <=> nad[c] + glyc-R[c] 	SCO6205	1	-1000.00	1000.00	  0.00
UDPG4E	UDPglucose 4-epimerase	udpg[c]  <=> udpgal[c] 	(SCO2988 or SCO3137 or SCO3326 or SCO3739)	1	-1000.00	1000.00	  0.00
UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase	gal1p[c] + udpg[c]  <=> g1p[c] + udpgal[c] 	SCO3138	1	-1000.00	1000.00	  0.00
URIH	Uridine hydrolase	h2o[c] + uri[c]  -> rib-D[c] + ura[c] 	SCO3779	0	  0.00	1000.00	  0.00
X5PL3E	L-xylulose 5-phosphate 3-epimerase	xu5p-L[c]  -> ru5p-L[c] 		0	  0.00	1000.00	  0.00
XYLI1	xylose isomerase	xyl-D[c]  <=> xylu-D[c] 	SCO1169	1	-1000.00	1000.00	  0.00
XYLI2	xylose isomerase	glc-D[c]  <=> fru[c] 	SCO1169	1	-1000.00	1000.00	  0.00
XYLK	xylulokinase	atp[c] + xylu-D[c]  -> h[c] + adp[c] + xu5p-D[c] 	(SCO1170 or SCO2462)	0	  0.00	1000.00	  0.00
XYLK2	L-xylulokinase	atp[c] + xylu-L[c]  -> h[c] + adp[c] + xu5p-L[c] 		0	  0.00	1000.00	  0.00
XYLTO	xylitol oxidase	o2[c] + xylt[c]  -> h2o2[c] + xylu-D[c] 	SCO6147	0	  0.00	1000.00	  0.00
ICL	Isocitrate lyase	icit[c]  -> glx[c] + succ[c] 	SCO0982	0	  0.00	1000.00	  0.00
MALS	malate synthase	h2o[c] + accoa[c] + glx[c]  -> coa[c] + h[c] + mal-L[c] 	(SCO0983 or SCO6243)	0	  0.00	1000.00	  0.00
ME1	malic enzyme (NAD)	nad[c] + mal-L[c]  -> nadh[c] + co2[c] + pyr[c] 	SCO2951	0	  0.00	1000.00	  0.00
ME2	malic enzyme (NADP)	nadp[c] + mal-L[c]  -> nadph[c] + co2[c] + pyr[c] 	SCO5261	0	  0.00	1000.00	  0.00
PEPCK	phosphoenolpyruvate carboxykinase (GTP)	oaa[c] + gtp[c]  -> co2[c] + gdp[c] + pep[c] 	SCO4979	0	  0.00	1000.00	  0.00
PPA	inorganic diphosphatase	h2o[c] + ppi[c]  -> h[c] + 2 pi[c] 	SCO3409	0	  0.00	1000.00	  0.00
PPA_1	inorganic diphosphatase (one proton translocation)	h2o[c] + ppi[c]  -> 2 pi[c] + h[e] 	SCO3547	0	  0.00	1000.00	  0.00
PPC	phosphoenolpyruvate carboxylase	h2o[c] + co2[c] + pep[c]  -> h[c] + oaa[c] + pi[c] 	SCO3127	0	  0.00	1000.00	  0.00
4HGLSD	L-4-hydroxyglutamate semialdehyde dehydrogenase	h2o[c] + nad[c] + 4hglusa[c]  -> 2 h[c] + nadh[c] + e4hglu[c] 	SCO5520	0	  0.00	1000.00	  0.00
ABTA	4-aminobutyrate transaminase	akg[c] + 4abut[c]  -> glu-L[c] + sucsal[c] 	(SCO5676 or SCO7034)	0	  0.00	1000.00	  0.00
ABUTD	Aminobutyraldehyde dehydrogenase	h2o[c] + nad[c] + 4abutn[c]  -> 2 h[c] + nadh[c] + 4abut[c] 	(SCO5657 or SCO5666)	0	  0.00	1000.00	  0.00
ACGK	acetylglutamate kinase	atp[c] + acglu[c]  -> adp[c] + acg5p[c] 	SCO1578	0	  0.00	1000.00	  0.00
ACGS	N-acetylglutamate synthase	accoa[c] + glu-L[c]  -> coa[c] + h[c] + acglu[c] 	(SCO1579 or SCO3376)	0	  0.00	1000.00	  0.00
ACOTA	acetylornithine transaminase	akg[c] + acorn[c]  <=> glu-L[c] + acg5sa[c] 	SCO1577	1	-1000.00	1000.00	  0.00
ADMDC	adenosylmethionine decarboxylase	h[c] + amet[c]  -> co2[c] + ametam[c] 		0	  0.00	1000.00	  0.00
AGMD	agmatine deiminase	h2o[c] + agm[c]  -> nh4[c] + cptrc[c] 	SCO5527	0	  0.00	1000.00	  0.00
AGMT	agmatinase	h2o[c] + agm[c]  -> ptrc[c] + urea[c] 	SCO2770	0	  0.00	1000.00	  0.00
AGPR	N-acetyl-g-glutamyl-phosphate reductase	nadp[c] + pi[c] + acg5sa[c]  <=> nadph[c] + h[c] + acg5p[c] 	SCO1580	1	-1000.00	1000.00	  0.00
AMPTASEPG	aminopeptidase (pro-gly)	h2o[c] + progly[c]  -> gly[c] + pro-L[c] 	(SCO2018 or SCO2635 or SCO2643)	0	  0.00	1000.00	  0.00
APCS	aminopropylcadaverine synthase	ametam[c] + 15dap[c]  -> h[c] + 5mta[c] + na15dap[c] 	(SCO3655 or SCO2455)	0	  0.00	1000.00	  0.00
ARGD	Arginine Deiminase	h2o[c] + arg-L[c]  -> nh4[c] + citr-L[c] 	(SCO0613 or SCO5975)	0	  0.00	1000.00	  0.00
ARGSL	argininosuccinate lyase	argsuc[c]  <=> arg-L[c] + fum[c] 	SCO1570	1	-1000.00	1000.00	  0.00
ARGSS	argininosuccinate synthase	asp-L[c] + atp[c] + citr-L[c]  -> h[c] + amp[c] + ppi[c] + argsuc[c] 	SCO7036	0	  0.00	1000.00	  0.00
